"","M","Ustar","sd_med","sd_sigma_T"
"244",5.2,0.41,0.267738873190273,0.0732002334845525
"245",5.2,0.42,0.267693170441051,0.073160512548474
"246",5.2,0.43,0.267646724950388,0.073102505298059
"247",5.2,0.44,0.267599982295907,0.0730259634914081
"248",5.2,0.45,0.267553462676185,0.0729306798606673
"249",5.2,0.46,0.26750775769122,0.0728164324205295
"250",5.2,0.47,0.267463527422305,0.0726830354554284
"251",5.2,0.48,0.267421497778668,0.0725304353338038
"252",5.2,0.49,0.267382458082355,0.0723583437614558
"253",5.2,0.5,0.267347258866491,0.0721666638307415
"254",5.2,0.51,0.267316809865267,0.0719554881986678
"255",5.2,0.52,0.267292078176956,0.071724305949813
"256",5.2,0.53,0.267274086583958,0.0714734562545431
"257",5.2,0.54,0.267263912016398,0.0712026276242507
"258",5.2,0.55,0.267262684148269,0.0709120396186409
"259",5.2,0.56,0.267271584117494,0.0706016888337761
"260",5.2,0.57,0.267291843363718,0.0702711379538999
"261",5.2,0.58,0.267324742580133,0.0699231609783441
"262",5.2,0.59,0.267371610778295,0.0695566300518858
"263",5.2,0.6,0.267433824467728,0.069170504934167
"264",5.2,0.61,0.267512806955291,0.0687680567177718
"265",5.2,0.62,0.267610027772763,0.0683485412266513
"266",5.2,0.63,0.267727002245128,0.0679133354025431
"267",5.2,0.64,0.267865291216659,0.06746224577007
"268",5.2,0.65,0.268026500957245,0.0669950501769904
"269",5.2,0.66,0.268212283277758,0.0665137643066172
"270",5.2,0.67,0.268424335890754,0.0660194665535411
"271",5.2,0.68,0.268664403061827,0.0655149408940912
"272",5.2,0.69,0.268934276607834,0.0650016949796847
"273",5.2,0.7,0.269235797311486,0.0644809417701994
"274",5.2,0.71,0.269570856838182,0.0639538487920201
"275",5.2,0.72,0.269941400261208,0.0634205832960301
"276",5.2,0.73,0.270349429326813,0.0628860417276579
"277",5.2,0.74,0.27079700662272,0.0623505660890346
"278",5.2,0.75,0.271286260854431,0.061820081559171
"279",5.2,0.76,0.271819393486303,0.0612907892975348
"280",5.2,0.77,0.272398687072704,0.0607698580628315
"281",5.2,0.78,0.273026515694529,0.0602581632112312
"282",5.2,0.79,0.273705358036012,0.0597555111494381
"283",5.2,0.8,0.274437813798074,0.0592686561003052
"284",5.2,0.81,0.275226624364674,0.0588012552744383
"285",5.2,0.82,0.276074698943893,0.0583544119758893
"286",5.2,0.83,0.276985147835193,0.0579311086514012
"287",5.2,0.84,0.277961325089826,0.0575318748606655
"288",5.2,0.85,0.279006883729988,0.057159898152264
"289",5.2,0.86,0.280125848032305,0.0568268178332868
"290",5.2,0.87,0.281322709426961,0.0565368825155894
"291",5.2,0.88,0.282602555771408,0.0562884106604736
"292",5.2,0.89,0.283971248941425,0.0560815636151052
"293",5.2,0.9,0.285435674356532,0.0559141604255267
"294",5.2,0.91,0.287004101170178,0.0557966790415181
"295",5.2,0.92,0.288686719472583,0.0557309978311073
"296",5.2,0.93,0.290496474283462,0.0557204664698528
"297",5.2,0.94,0.292450426943875,0.0557509089858399
"298",5.2,0.95,0.294572125449335,0.0558526197082677
"299",5.2,0.96,0.296896101844622,0.0560078393002326
"300",5.2,0.97,0.299477501452084,0.0562117261969471
"301",5.2,0.98,0.302416890125745,0.0564844791510557
"302",5.2,0.99,0.30594950628388,0.0568010295118344
"303",5.2,1,0.311703587682476,0.0571112878937378
"304",5.3,0,0.295905099009044,0.0567241508579404
"305",5.3,0.01,0.274464039080412,0.059866101887417
"306",5.3,0.02,0.26882872983746,0.0611287299230088
"307",5.3,0.03,0.265114941010018,0.0620771981291958
"308",5.3,0.04,0.262354769452088,0.0628571629436016
"309",5.3,0.05,0.260189943401265,0.06353010380804
"310",5.3,0.06,0.258440688010565,0.0641533783359986
"311",5.3,0.07,0.257001182530707,0.0647240336046613
"312",5.3,0.08,0.255802550486005,0.0652560967700061
"313",5.3,0.09,0.254796738753395,0.0657624753550835
"314",5.3,0.1,0.253948478767836,0.0662397308382407
"315",5.3,0.11,0.253230871949979,0.0667010824650409
"316",5.3,0.12,0.252622782218567,0.0671439905517532
"317",5.3,0.13,0.252107205127999,0.0675695262446688
"318",5.3,0.14,0.251670199445677,0.0679805279974352
"319",5.3,0.15,0.251300159786146,0.0683762167393639
"320",5.3,0.16,0.250987305106601,0.0687547536688758
"321",5.3,0.17,0.250723308862141,0.0691208749672926
"322",5.3,0.18,0.250501025060285,0.0694710608127752
"323",5.3,0.19,0.250314281014804,0.0698067222213588
"324",5.3,0.2,0.250157717605522,0.0701269025304612
"325",5.3,0.21,0.25002666409527,0.0704325245133548
"326",5.3,0.22,0.249917038563918,0.0707228085178336
"327",5.3,0.23,0.249825267658392,0.0709980394471628
"328",5.3,0.24,0.249748221134148,0.0712573043319815
"329",5.3,0.25,0.249683157884039,0.0715014869187499
"330",5.3,0.26,0.249627681004279,0.0717301616517829
"331",5.3,0.27,0.249579700054579,0.0719430779166943
"332",5.3,0.28,0.249537399108128,0.0721401403257659
"333",5.3,0.29,0.249499209508333,0.0723212519992265
